30/01/2022 00:10;29/01/2022 18:00;30/01/2022 00:00;Horaire;APOR Validé sinon Brut
Organisme;Station;Mesure;Constituant;Unité;Date;Valeur;Etat
80;942;1;011;microg/m3;29/01/2022 18:00;0,2;R
80;942;1;011;microg/m3;29/01/2022 19:00;0,1;R
80;942;1;011;microg/m3;29/01/2022 20:00;0,1;A
80;942;1;011;microg/m3;29/01/2022 21:00;0,1;R
80;942;1;011;microg/m3;29/01/2022 22:00;0,1;R
80;942;1;011;microg/m3;29/01/2022 23:00;0,3;A
80;942;1;011;microg/m3;30/01/2022 00:00;;-
80;942;2;021;microg/m3;29/01/2022 18:00;7,8;A
80;942;2;021;microg/m3;29/01/2022 19:00;8,5;A
80;942;2;021;microg/m3;29/01/2022 20:00;10,6;A
80;942;2;021;microg/m3;29/01/2022 21:00;11,2;A
80;942;2;021;microg/m3;29/01/2022 22:00;4,6;A
80;942;2;021;microg/m3;29/01/2022 23:00;11,7;A
80;942;2;021;microg/m3;30/01/2022 00:00;;-
80;942;3;031;microg/m3;29/01/2022 18:00;37,7;A
80;942;3;031;microg/m3;29/01/2022 19:00;48,5;A
80;942;3;031;microg/m3;29/01/2022 20:00;53,4;A
80;942;3;031;microg/m3;29/01/2022 21:00;47,9;A
80;942;3;031;microg/m3;29/01/2022 22:00;40;A
80;942;3;031;microg/m3;29/01/2022 23:00;55;A
80;942;3;031;microg/m3;30/01/2022 00:00;;-
80;942;4;121;microg/m3;29/01/2022 18:00;50,8;A
80;942;4;121;microg/m3;29/01/2022 19:00;62,8;A
80;942;4;121;microg/m3;29/01/2022 20:00;71,2;A
80;942;4;121;microg/m3;29/01/2022 21:00;66,6;A
80;942;4;121;microg/m3;29/01/2022 22:00;48;A
80;942;4;121;microg/m3;29/01/2022 23:00;74,4;A
80;942;4;121;microg/m3;30/01/2022 00:00;;-
80;942;5;041;mg/m3;29/01/2022 18:00;0;A
80;942;5;041;mg/m3;29/01/2022 19:00;0,1;A
80;942;5;041;mg/m3;29/01/2022 20:00;0,1;A
80;942;5;041;mg/m3;29/01/2022 21:00;0,2;A
80;942;5;041;mg/m3;29/01/2022 22:00;0,2;A
80;942;5;041;mg/m3;29/01/2022 23:00;0,2;A
80;942;5;041;mg/m3;30/01/2022 00:00;;-
80;942;6;081;microg/m3;29/01/2022 18:00;36,6;A
80;942;6;081;microg/m3;29/01/2022 19:00;27,4;A
80;942;6;081;microg/m3;29/01/2022 20:00;22,6;A
80;942;6;081;microg/m3;29/01/2022 21:00;26,8;A
80;942;6;081;microg/m3;29/01/2022 22:00;26,7;A
80;942;6;081;microg/m3;29/01/2022 23:00;13,1;A
80;942;6;081;microg/m3;30/01/2022 00:00;;-
80;942;9;521;degre;29/01/2022 18:00;61;A
80;942;9;521;degre;29/01/2022 19:00;206;A
80;942;9;521;degre;29/01/2022 20:00;210;A
80;942;9;521;degre;29/01/2022 21:00;238;A
80;942;9;521;degre;29/01/2022 22:00;183;A
80;942;9;521;degre;29/01/2022 23:00;67;A
80;942;9;521;degre;30/01/2022 00:00;;-
80;942;10;511;m/s;29/01/2022 18:00;1,5;A
80;942;10;511;m/s;29/01/2022 19:00;0,4;A
80;942;10;511;m/s;29/01/2022 20:00;0,7;A
80;942;10;511;m/s;29/01/2022 21:00;0,4;A
80;942;10;511;m/s;29/01/2022 22:00;0,5;A
80;942;10;511;m/s;29/01/2022 23:00;1;A
80;942;10;511;m/s;30/01/2022 00:00;;-
80;942;11;541;degreC;29/01/2022 18:00;10,5;A
80;942;11;541;degreC;29/01/2022 19:00;9;A
80;942;11;541;degreC;29/01/2022 20:00;8,2;A
80;942;11;541;degreC;29/01/2022 21:00;8;A
80;942;11;541;degreC;29/01/2022 22:00;7;A
80;942;11;541;degreC;29/01/2022 23:00;6,3;A
80;942;11;541;degreC;30/01/2022 00:00;;-
80;942;12;581;%;29/01/2022 18:00;19,7;A
80;942;12;581;%;29/01/2022 19:00;22,9;A
80;942;12;581;%;29/01/2022 20:00;24,7;A
80;942;12;581;%;29/01/2022 21:00;25,2;A
80;942;12;581;%;29/01/2022 22:00;28,7;A
80;942;12;581;%;29/01/2022 23:00;31,4;A
80;942;12;581;%;30/01/2022 00:00;;-
80;942;13;531;hPa;29/01/2022 18:00;911;A
80;942;13;531;hPa;29/01/2022 19:00;911;A
80;942;13;531;hPa;29/01/2022 20:00;911;A
80;942;13;531;hPa;29/01/2022 21:00;911;A
80;942;13;531;hPa;29/01/2022 22:00;911;A
80;942;13;531;hPa;29/01/2022 23:00;910;A
80;942;13;531;hPa;30/01/2022 00:00;;-
80;942;14;741;W/m2;29/01/2022 18:00;1;A
80;942;14;741;W/m2;29/01/2022 19:00;1;A
80;942;14;741;W/m2;29/01/2022 20:00;1;A
80;942;14;741;W/m2;29/01/2022 21:00;1;A
80;942;14;741;W/m2;29/01/2022 22:00;1;A
80;942;14;741;W/m2;29/01/2022 23:00;0;A
80;942;14;741;W/m2;30/01/2022 00:00;;-
80;942;15;601;mm;29/01/2022 18:00;0;A
