10/02/2022 11:14;07/01/2022 00:00;13/01/2022 00:00;Horaire;APOR Validé
Organisme;Station;Mesure;Constituant;Unité;Date;Valeur;Etat
80;942;1;011;microg/m3;07/01/2022 00:00;0,3;A
80;942;1;011;microg/m3;07/01/2022 01:00;0,4;A
80;942;1;011;microg/m3;07/01/2022 02:00;0,1;A
80;942;1;011;microg/m3;07/01/2022 03:00;0;R
80;942;1;011;microg/m3;07/01/2022 04:00;0,2;A
80;942;1;011;microg/m3;07/01/2022 05:00;0,4;A
80;942;1;011;microg/m3;07/01/2022 06:00;0,5;A
80;942;1;011;microg/m3;07/01/2022 07:00;1,3;A
80;942;1;011;microg/m3;07/01/2022 08:00;3,2;A
80;942;1;011;microg/m3;07/01/2022 09:00;3,9;A
80;942;1;011;microg/m3;07/01/2022 10:00;6,9;A
80;942;1;011;microg/m3;07/01/2022 11:00;5,3;A
80;942;1;011;microg/m3;07/01/2022 12:00;2,4;A
80;942;1;011;microg/m3;07/01/2022 13:00;0,5;A
80;942;1;011;microg/m3;07/01/2022 14:00;0,5;A
80;942;1;011;microg/m3;07/01/2022 15:00;0,3;A
80;942;1;011;microg/m3;07/01/2022 16:00;0,5;A
80;942;1;011;microg/m3;07/01/2022 17:00;0,6;A
80;942;1;011;microg/m3;07/01/2022 18:00;0,5;A
80;942;1;011;microg/m3;07/01/2022 19:00;0,4;A
80;942;1;011;microg/m3;07/01/2022 20:00;0,6;A
80;942;1;011;microg/m3;07/01/2022 21:00;0,1;A
80;942;1;011;microg/m3;07/01/2022 22:00;0,1;A
80;942;1;011;microg/m3;07/01/2022 23:00;;-
80;942;1;011;microg/m3;08/01/2022 00:00;;-
80;942;1;011;microg/m3;08/01/2022 01:00;0;R
80;942;1;011;microg/m3;08/01/2022 02:00;0;R
80;942;1;011;microg/m3;08/01/2022 03:00;0,1;A
80;942;1;011;microg/m3;08/01/2022 04:00;0,2;A
80;942;1;011;microg/m3;08/01/2022 05:00;0,3;A
80;942;1;011;microg/m3;08/01/2022 06:00;0,5;A
80;942;1;011;microg/m3;08/01/2022 07:00;0,1;R
80;942;1;011;microg/m3;08/01/2022 08:00;0,5;A
80;942;1;011;microg/m3;08/01/2022 09:00;0,7;A
80;942;1;011;microg/m3;08/01/2022 10:00;0,6;A
80;942;1;011;microg/m3;08/01/2022 11:00;1;A
80;942;1;011;microg/m3;08/01/2022 12:00;0,8;A
80;942;1;011;microg/m3;08/01/2022 13:00;0,9;A
80;942;1;011;microg/m3;08/01/2022 14:00;0,6;A
80;942;1;011;microg/m3;08/01/2022 15:00;0,5;A
80;942;1;011;microg/m3;08/01/2022 16:00;0,6;A
80;942;1;011;microg/m3;08/01/2022 17:00;0,7;A
80;942;1;011;microg/m3;08/01/2022 18:00;0,8;A
80;942;1;011;microg/m3;08/01/2022 19:00;1;A
80;942;1;011;microg/m3;08/01/2022 20:00;1,6;A
