sampling_point_id,begin_position,end_position,value,verification_flag,validation_flag
SPO-AD0942A-0001,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0.1,3,1
SPO-AD0942A-0001,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0.3,3,1
SPO-AD0942A-0001,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0.4,3,1
SPO-AD0942A-0001,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,2,3,1
SPO-AD0942A-0001,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,5.2,3,1
SPO-AD0942A-0001,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,6.7,3,1
SPO-AD0942A-0001,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-0038,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,1.2,3,1
SPO-AD0942A-0038,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,2,3,1
SPO-AD0942A-0038,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,9.1,3,1
SPO-AD0942A-0038,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,48.8,3,1
SPO-AD0942A-0038,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,133.1,3,1
SPO-AD0942A-0038,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,163.7,3,1
SPO-AD0942A-0038,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-0008,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,16.7,3,1
SPO-AD0942A-0008,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,26.5,3,1
SPO-AD0942A-0008,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,41.8,3,1
SPO-AD0942A-0008,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,61,3,1
SPO-AD0942A-0008,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,78.5,3,1
SPO-AD0942A-0008,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,89.5,3,1
SPO-AD0942A-0008,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-0009,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,18.8,3,1
SPO-AD0942A-0009,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,30.1,3,1
SPO-AD0942A-0009,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,56.8,3,1
SPO-AD0942A-0009,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,139.5,3,1
SPO-AD0942A-0009,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,291.2,3,1
SPO-AD0942A-0009,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,350.8,3,1
SPO-AD0942A-0009,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-0010,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0,3,1
SPO-AD0942A-0010,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,NA,3,-1
SPO-AD0942A-0010,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0.1,3,1
SPO-AD0942A-0010,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0.2,3,1
SPO-AD0942A-0010,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,0.5,3,1
SPO-AD0942A-0010,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,0.5,3,1
SPO-AD0942A-0010,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-0007,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,32.2,3,1
SPO-AD0942A-0007,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,23.5,3,1
SPO-AD0942A-0007,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,NA,3,-1
SPO-AD0942A-0007,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,2.6,3,1
SPO-AD0942A-0007,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,2,3,1
SPO-AD0942A-0007,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,2.9,3,1
SPO-AD0942A-0007,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-9052,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,140,3,1
SPO-AD0942A-9052,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,74,3,1
SPO-AD0942A-9052,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,102,3,1
SPO-AD0942A-9052,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,136,3,1
SPO-AD0942A-9052,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,72,3,1
SPO-AD0942A-9052,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,68,3,1
SPO-AD0942A-9052,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-9051,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,1.3,3,1
SPO-AD0942A-9051,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,1.6,3,1
SPO-AD0942A-9051,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,1.2,3,1
SPO-AD0942A-9051,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0.7,3,1
SPO-AD0942A-9051,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,1.3,3,1
SPO-AD0942A-9051,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,0.9,3,1
SPO-AD0942A-9051,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-9054,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0.7,3,1
SPO-AD0942A-9054,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0.5,3,1
SPO-AD0942A-9054,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0.5,3,1
SPO-AD0942A-9054,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0.4,3,1
SPO-AD0942A-9054,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,0.7,3,1
SPO-AD0942A-9054,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,1.6,3,1
SPO-AD0942A-9054,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-9058,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,61.1,3,1
SPO-AD0942A-9058,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,63.2,3,1
SPO-AD0942A-9058,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,62.4,3,1
SPO-AD0942A-9058,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,63.1,3,1
SPO-AD0942A-9058,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,62.6,3,1
SPO-AD0942A-9058,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,60.3,3,1
SPO-AD0942A-9058,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-9053,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,900,3,1
SPO-AD0942A-9053,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,899,3,1
SPO-AD0942A-9053,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,899,3,1
SPO-AD0942A-9053,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,900,3,1
SPO-AD0942A-9053,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,900,3,1
SPO-AD0942A-9053,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,900,3,1
SPO-AD0942A-9053,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0942A-9072,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0,3,1
SPO-AD0942A-9072,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0,3,1
SPO-AD0942A-9072,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0,3,1
SPO-AD0942A-9072,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0,3,1
SPO-AD0942A-9072,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,4,3,1
SPO-AD0942A-9072,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,49,3,1
