"time_begin","file_found","time_file","rows","time_end","error_script"
"2022-03-23 09:11:02",TRUE,"2022-03-23 09:10:04",280,"2022-03-23 09:11:11",FALSE
"2022-03-23 10:11:02",TRUE,"2022-03-23 10:10:04",280,"2022-03-23 10:11:11",FALSE
"2022-03-23 11:11:02",TRUE,"2022-03-23 11:10:04",280,"2022-03-23 11:11:12",FALSE
"2022-03-23 12:11:02",TRUE,"2022-03-23 12:10:04",280,"2022-03-23 12:11:11",FALSE
"2022-03-23 13:11:02",TRUE,"2022-03-23 13:10:05",280,"2022-03-23 13:11:12",FALSE
"2022-03-23 14:11:02",TRUE,"2022-03-23 14:10:09",280,"2022-03-23 14:11:11",FALSE
"2022-03-23 15:11:02",TRUE,"2022-03-23 15:10:05",280,"2022-03-23 15:11:12",FALSE
"2022-03-23 16:11:02",TRUE,"2022-03-23 16:10:05",280,"2022-03-23 16:11:11",FALSE
"2022-03-23 17:11:02",TRUE,"2022-03-23 17:10:05",280,"2022-03-23 17:11:11",FALSE
"2022-03-23 18:11:02",TRUE,"2022-03-23 18:10:04",280,"2022-03-23 18:11:11",FALSE
"2022-03-23 19:11:03",TRUE,"2022-03-23 19:10:05",280,"2022-03-23 19:11:12",FALSE
"2022-03-23 20:11:03",TRUE,"2022-03-23 20:10:04",280,"2022-03-23 20:11:12",FALSE
"2022-03-23 21:11:03",TRUE,"2022-03-23 21:10:04",280,"2022-03-23 21:11:12",FALSE
"2022-03-23 22:11:02",TRUE,"2022-03-23 22:10:04",280,"2022-03-23 22:11:12",FALSE
"2022-03-23 23:11:02",TRUE,"2022-03-23 23:10:03",280,"2022-03-23 23:11:12",FALSE
"2022-03-24 00:11:02",TRUE,"2022-03-24 00:10:03",280,"2022-03-24 00:11:11",FALSE
"2022-03-24 01:11:03",TRUE,"2022-03-24 01:10:04",280,"2022-03-24 01:11:12",FALSE
"2022-03-24 02:11:03",TRUE,"2022-03-24 02:10:03",280,"2022-03-24 02:11:16",FALSE
"2022-03-24 03:11:02",TRUE,"2022-03-24 03:10:03",280,"2022-03-24 03:11:12",FALSE
"2022-03-24 04:11:02",TRUE,"2022-03-24 04:10:03",280,"2022-03-24 04:11:12",FALSE
"2022-03-24 05:11:02",TRUE,"2022-03-24 05:10:03",280,"2022-03-24 05:11:11",FALSE
"2022-03-24 06:11:02",TRUE,"2022-03-24 06:10:03",280,"2022-03-24 06:11:12",FALSE
"2022-03-24 07:11:02",TRUE,"2022-03-24 07:10:01",280,"2022-03-24 07:11:12",FALSE
"2022-03-24 08:11:02",TRUE,"2022-03-24 08:10:04",280,"2022-03-24 08:11:11",FALSE
"2022-03-24 09:11:03",TRUE,"2022-03-24 09:10:04",280,"2022-03-24 09:11:12",FALSE
"2022-03-24 10:11:02",TRUE,"2022-03-24 10:10:05",280,"2022-03-24 10:11:12",FALSE
"2022-03-24 11:11:02",TRUE,"2022-03-24 11:10:05",280,"2022-03-24 11:11:12",FALSE
"2022-03-24 12:11:02",TRUE,"2022-03-24 12:10:04",280,"2022-03-24 12:11:12",FALSE
"2022-03-24 13:11:02",TRUE,"2022-03-24 13:10:03",280,"2022-03-24 13:11:12",FALSE
"2022-03-24 14:11:02",TRUE,"2022-03-24 14:10:07",280,"2022-03-24 14:11:12",FALSE
"2022-03-24 15:11:02",TRUE,"2022-03-24 15:10:04",280,"2022-03-24 15:11:12",FALSE
"2022-03-24 16:11:03",TRUE,"2022-03-24 16:10:03",280,"2022-03-24 16:11:13",FALSE
"2022-03-24 17:11:03",TRUE,"2022-03-24 17:10:04",280,"2022-03-24 17:11:12",FALSE
"2022-03-24 18:11:02",TRUE,"2022-03-24 18:10:05",280,"2022-03-24 18:11:12",FALSE
"2022-03-24 19:11:02",TRUE,"2022-03-24 19:10:09",280,"2022-03-24 19:11:11",FALSE
"2022-03-24 20:11:02",TRUE,"2022-03-24 20:10:05",280,"2022-03-24 20:11:12",FALSE
"2022-03-24 21:11:02",TRUE,"2022-03-24 21:10:06",280,"2022-03-24 21:11:12",FALSE
"2022-03-24 22:11:02",TRUE,"2022-03-24 22:10:05",280,"2022-03-24 22:11:11",FALSE
"2022-03-24 23:11:03",TRUE,"2022-03-24 23:10:05",280,"2022-03-24 23:11:12",FALSE
"2022-03-25 00:11:02",TRUE,"2022-03-25 00:10:05",280,"2022-03-25 00:11:12",FALSE
"2022-03-25 01:11:02",TRUE,"2022-03-25 01:10:04",280,"2022-03-25 01:11:12",FALSE
"2022-03-25 02:11:02",TRUE,"2022-03-25 02:10:02",280,"2022-03-25 02:11:12",FALSE
"2022-03-25 03:11:02",TRUE,"2022-03-25 03:10:03",280,"2022-03-25 03:11:12",FALSE
"2022-03-25 04:11:02",TRUE,"2022-03-25 04:10:03",280,"2022-03-25 04:11:11",FALSE
"2022-03-25 05:11:03",TRUE,"2022-03-25 05:10:03",280,"2022-03-25 05:11:12",FALSE
"2022-03-25 06:11:02",FALSE,NA,NA,"2022-03-25 06:11:03",FALSE
"2022-03-25 07:11:02",FALSE,NA,NA,"2022-03-25 07:11:03",FALSE
"2022-03-25 08:11:02",TRUE,"2022-03-25 08:10:03",280,"2022-03-25 08:11:12",FALSE
"2022-03-25 09:11:03",TRUE,"2022-03-25 09:10:03",280,"2022-03-25 09:11:12",FALSE
"2022-03-25 10:11:02",TRUE,"2022-03-25 10:10:03",280,"2022-03-25 10:11:11",FALSE
"2022-03-25 13:11:03",TRUE,"2022-03-25 13:10:04",280,"2022-03-25 13:11:19",FALSE
"2022-03-25 14:11:02",TRUE,"2022-03-25 14:10:03",280,"2022-03-25 14:11:18",FALSE
"2022-03-25 15:11:02",TRUE,"2022-03-25 15:10:06",280,"2022-03-25 15:11:18",FALSE
"2022-03-25 16:11:02",TRUE,"2022-03-25 16:10:04",280,"2022-03-25 16:11:18",FALSE
"2022-03-25 17:11:03",TRUE,"2022-03-25 17:10:05",280,"2022-03-25 17:11:19",FALSE
"2022-03-25 18:11:03",TRUE,"2022-03-25 18:10:04",280,"2022-03-25 18:11:19",FALSE
"2022-03-25 19:11:02",TRUE,"2022-03-25 19:10:04",280,"2022-03-25 19:11:18",FALSE
"2022-03-25 20:11:02",TRUE,"2022-03-25 20:10:05",280,"2022-03-25 20:11:18",FALSE
"2022-03-25 21:11:02",TRUE,"2022-03-25 21:10:04",280,"2022-03-25 21:11:18",FALSE
"2022-03-25 22:11:03",TRUE,"2022-03-25 22:10:03",280,"2022-03-25 22:11:19",FALSE
"2022-03-25 23:11:02",TRUE,"2022-03-25 23:10:04",280,"2022-03-25 23:11:19",FALSE
"2022-03-26 00:11:02",TRUE,"2022-03-26 00:10:04",280,"2022-03-26 00:11:19",FALSE
"2022-03-26 01:11:02",TRUE,"2022-03-26 01:10:03",280,"2022-03-26 01:11:19",FALSE
"2022-03-26 02:11:03",TRUE,"2022-03-26 02:10:03",280,"2022-03-26 02:11:19",FALSE
"2022-03-26 03:11:02",TRUE,"2022-03-26 03:10:05",280,"2022-03-26 03:11:19",FALSE
"2022-03-26 04:11:02",TRUE,"2022-03-26 04:10:04",280,"2022-03-26 04:11:19",FALSE
"2022-03-26 05:11:02",TRUE,"2022-03-26 05:10:07",280,"2022-03-26 05:11:19",FALSE
"2022-03-26 06:11:03",TRUE,"2022-03-26 06:10:06",280,"2022-03-26 06:11:19",FALSE
"2022-03-26 07:11:02",TRUE,"2022-03-26 07:10:04",280,"2022-03-26 07:11:19",FALSE
"2022-03-26 08:11:03",TRUE,"2022-03-26 08:10:07",280,"2022-03-26 08:11:20",FALSE
"2022-03-26 09:11:02",TRUE,"2022-03-26 09:10:04",280,"2022-03-26 09:11:19",FALSE
"2022-03-26 10:11:02",TRUE,"2022-03-26 10:10:04",280,"2022-03-26 10:11:19",FALSE
"2022-03-26 11:11:02",TRUE,"2022-03-26 11:10:09",280,"2022-03-26 11:11:19",FALSE
"2022-03-26 12:11:03",TRUE,"2022-03-26 12:10:05",280,"2022-03-26 12:11:20",FALSE
"2022-03-26 13:11:03",TRUE,"2022-03-26 13:10:08",280,"2022-03-26 13:11:20",FALSE
"2022-03-26 14:11:02",TRUE,"2022-03-26 14:10:04",280,"2022-03-26 14:11:19",FALSE
"2022-03-26 15:11:03",TRUE,"2022-03-26 15:10:05",280,"2022-03-26 15:11:20",FALSE
"2022-03-26 16:11:03",TRUE,"2022-03-26 16:10:06",280,"2022-03-26 16:11:20",FALSE
"2022-03-26 17:11:02",TRUE,"2022-03-26 17:10:06",280,"2022-03-26 17:11:19",FALSE
"2022-03-26 18:11:03",TRUE,"2022-03-26 18:10:06",280,"2022-03-26 18:11:20",FALSE
"2022-03-26 19:11:02",TRUE,"2022-03-26 19:10:06",280,"2022-03-26 19:11:19",FALSE
"2022-03-26 20:11:02",TRUE,"2022-03-26 20:10:06",280,"2022-03-26 20:11:20",FALSE
"2022-03-26 21:11:03",TRUE,"2022-03-26 21:10:05",280,"2022-03-26 21:11:20",FALSE
"2022-03-26 22:11:03",TRUE,"2022-03-26 22:10:10",280,"2022-03-26 22:11:20",FALSE
"2022-03-26 23:11:02",TRUE,"2022-03-26 23:10:06",280,"2022-03-26 23:11:19",FALSE
"2022-03-27 00:11:02",TRUE,"2022-03-27 00:10:03",280,"2022-03-27 00:11:19",FALSE
"2022-03-27 01:11:02",TRUE,"2022-03-27 01:10:03",280,"2022-03-27 01:11:19",FALSE
"2022-03-27 03:11:03",TRUE,"2022-03-27 03:10:03",280,"2022-03-27 03:11:20",FALSE
"2022-03-27 04:11:03",TRUE,"2022-03-27 04:10:03",280,"2022-03-27 04:11:19",FALSE
"2022-03-27 05:11:03",TRUE,"2022-03-27 05:10:02",280,"2022-03-27 05:11:19",FALSE
"2022-03-27 06:11:03",TRUE,"2022-03-27 06:10:02",280,"2022-03-27 06:11:19",FALSE
"2022-03-27 07:11:02",TRUE,"2022-03-27 07:10:02",280,"2022-03-27 07:11:19",FALSE
"2022-03-27 08:11:03",TRUE,"2022-03-27 08:10:03",280,"2022-03-27 08:11:19",FALSE
"2022-03-27 09:11:02",TRUE,"2022-03-27 09:10:03",280,"2022-03-27 09:11:19",FALSE
"2022-03-27 10:11:02",TRUE,"2022-03-27 10:10:03",280,"2022-03-27 10:11:18",FALSE
"2022-03-27 11:11:02",TRUE,"2022-03-27 11:10:03",280,"2022-03-27 11:11:19",FALSE
"2022-03-27 12:11:02",TRUE,"2022-03-27 12:10:04",280,"2022-03-27 12:11:18",FALSE
"2022-03-27 13:11:03",TRUE,"2022-03-27 13:10:03",280,"2022-03-27 13:11:19",FALSE
"2022-03-27 14:11:02",TRUE,"2022-03-27 14:10:04",280,"2022-03-27 14:11:19",FALSE
"2022-03-27 15:11:02",TRUE,"2022-03-27 15:10:04",280,"2022-03-27 15:11:19",FALSE
"2022-03-27 16:11:02",TRUE,"2022-03-27 16:10:07",280,"2022-03-27 16:11:19",FALSE
"2022-03-27 17:11:03",TRUE,"2022-03-27 17:10:05",280,"2022-03-27 17:11:19",FALSE
"2022-03-27 18:11:03",TRUE,"2022-03-27 18:10:04",280,"2022-03-27 18:11:19",FALSE
"2022-03-27 19:11:02",TRUE,"2022-03-27 19:10:06",280,"2022-03-27 19:11:19",FALSE
"2022-03-27 20:11:02",TRUE,"2022-03-27 20:10:05",280,"2022-03-27 20:11:19",FALSE
"2022-03-27 21:11:02",TRUE,"2022-03-27 21:10:05",280,"2022-03-27 21:11:19",FALSE
"2022-03-27 22:11:02",TRUE,"2022-03-27 22:10:06",280,"2022-03-27 22:11:19",FALSE
"2022-03-27 23:11:03",TRUE,"2022-03-27 23:10:05",280,"2022-03-27 23:11:20",FALSE
"2022-03-28 00:11:03",TRUE,"2022-03-28 00:10:04",280,"2022-03-28 00:11:19",FALSE
"2022-03-28 01:11:03",TRUE,"2022-03-28 01:10:04",280,"2022-03-28 01:11:19",FALSE
"2022-03-28 02:11:03",TRUE,"2022-03-28 02:10:04",280,"2022-03-28 02:11:19",FALSE
"2022-03-28 03:11:02",TRUE,"2022-03-28 03:10:05",280,"2022-03-28 03:11:18",FALSE
"2022-03-28 04:11:03",TRUE,"2022-03-28 04:10:08",280,"2022-03-28 04:11:19",FALSE
"2022-03-28 05:11:03",TRUE,"2022-03-28 05:10:04",280,"2022-03-28 05:11:19",FALSE
"2022-03-28 06:11:03",TRUE,"2022-03-28 06:10:03",280,"2022-03-28 06:11:19",FALSE
"2022-03-28 07:11:03",TRUE,"2022-03-28 07:10:03",280,"2022-03-28 07:11:19",FALSE
"2022-03-28 08:11:02",TRUE,"2022-03-28 08:10:03",280,"2022-03-28 08:11:19",FALSE
"2022-03-28 09:11:02",TRUE,"2022-03-28 09:10:04",280,"2022-03-28 09:11:20",FALSE
"2022-03-28 10:11:02",TRUE,"2022-03-28 10:10:03",280,"2022-03-28 10:11:19",FALSE
"2022-03-28 11:11:03",TRUE,"2022-03-28 11:10:02",280,"2022-03-28 11:11:19",FALSE
"2022-03-28 12:11:03",TRUE,"2022-03-28 12:10:02",280,"2022-03-28 12:11:19",FALSE
"2022-03-28 13:11:03",TRUE,"2022-03-28 13:10:03",280,"2022-03-28 13:11:20",FALSE
"2022-03-28 14:11:02",TRUE,"2022-03-28 14:10:06",280,"2022-03-28 14:11:19",FALSE
"2022-03-28 15:11:02",TRUE,"2022-03-28 15:10:04",280,"2022-03-28 15:11:12",FALSE
"2022-03-28 16:11:03",TRUE,"2022-03-28 16:10:04",280,"2022-03-28 16:11:12",FALSE
"2022-03-28 17:11:02",TRUE,"2022-03-28 17:10:05",280,"2022-03-28 17:11:11",FALSE
"2022-03-28 18:11:03",TRUE,"2022-03-28 18:10:05",280,"2022-03-28 18:11:12",FALSE
"2022-03-28 19:11:03",TRUE,"2022-03-28 19:10:05",280,"2022-03-28 19:11:12",FALSE
"2022-03-28 20:11:02",TRUE,"2022-03-28 20:10:09",280,"2022-03-28 20:11:12",FALSE
"2022-03-28 21:11:02",TRUE,"2022-03-28 21:10:05",280,"2022-03-28 21:11:12",FALSE
"2022-03-28 22:11:02",TRUE,"2022-03-28 22:10:03",280,"2022-03-28 22:11:12",FALSE
"2022-03-28 23:11:02",TRUE,"2022-03-28 23:10:03",280,"2022-03-28 23:11:12",FALSE
"2022-03-29 00:11:02",TRUE,"2022-03-29 00:10:03",280,"2022-03-29 00:11:11",FALSE
"2022-03-29 01:11:02",TRUE,"2022-03-29 01:10:03",280,"2022-03-29 01:11:11",FALSE
"2022-03-29 02:11:03",TRUE,"2022-03-29 02:10:03",280,"2022-03-29 02:11:12",FALSE
"2022-03-29 03:11:03",TRUE,"2022-03-29 03:10:02",280,"2022-03-29 03:11:12",FALSE
"2022-03-29 04:11:02",TRUE,"2022-03-29 04:10:02",280,"2022-03-29 04:11:11",FALSE
"2022-03-29 05:11:02",TRUE,"2022-03-29 05:10:02",280,"2022-03-29 05:11:11",FALSE
"2022-03-29 06:11:02",TRUE,"2022-03-29 06:10:07",280,"2022-03-29 06:11:12",FALSE
"2022-03-29 07:11:02",TRUE,"2022-03-29 07:10:05",280,"2022-03-29 07:11:11",FALSE
"2022-03-29 08:11:02",TRUE,"2022-03-29 08:10:03",280,"2022-03-29 08:11:12",FALSE
"2022-03-29 09:11:03",TRUE,"2022-03-29 09:10:04",280,"2022-03-29 09:11:12",FALSE
"2022-03-29 10:11:02",TRUE,"2022-03-29 10:10:08",280,"2022-03-29 10:11:12",FALSE
"2022-03-29 11:11:02",TRUE,"2022-03-29 11:10:04",280,"2022-03-29 11:11:12",FALSE
"2022-03-29 12:11:03",TRUE,"2022-03-29 12:10:06",280,"2022-03-29 12:11:12",FALSE
"2022-03-29 13:11:03",TRUE,"2022-03-29 13:10:04",280,"2022-03-29 13:11:12",FALSE
"2022-03-29 14:11:02",TRUE,"2022-03-29 14:10:04",280,"2022-03-29 14:11:12",FALSE
"2022-03-29 15:11:03",TRUE,"2022-03-29 15:10:03",280,"2022-03-29 15:11:12",FALSE
"2022-03-29 16:11:02",TRUE,"2022-03-29 16:10:05",280,"2022-03-29 16:11:12",FALSE
"2022-03-29 17:11:02",TRUE,"2022-03-29 17:10:05",280,"2022-03-29 17:11:12",FALSE
"2022-03-29 18:11:03",TRUE,"2022-03-29 18:10:07",280,"2022-03-29 18:11:13",FALSE
"2022-03-29 19:11:03",TRUE,"2022-03-29 19:10:04",280,"2022-03-29 19:11:13",FALSE
"2022-03-29 20:11:02",TRUE,"2022-03-29 20:10:04",280,"2022-03-29 20:11:12",FALSE
"2022-03-29 21:11:03",TRUE,"2022-03-29 21:10:05",280,"2022-03-29 21:11:13",FALSE
"2022-03-29 22:11:02",TRUE,"2022-03-29 22:10:07",280,"2022-03-29 22:11:12",FALSE
"2022-03-29 23:11:03",TRUE,"2022-03-29 23:10:06",280,"2022-03-29 23:11:13",FALSE
"2022-03-30 00:11:02",TRUE,"2022-03-30 00:10:05",280,"2022-03-30 00:11:12",FALSE
"2022-03-30 01:11:02",TRUE,"2022-03-30 01:10:04",280,"2022-03-30 01:11:12",FALSE
"2022-03-30 02:11:02",TRUE,"2022-03-30 02:10:02",280,"2022-03-30 02:11:12",FALSE
"2022-03-30 03:11:02",TRUE,"2022-03-30 03:10:02",280,"2022-03-30 03:11:12",FALSE
"2022-03-30 04:11:02",TRUE,"2022-03-30 04:10:06",280,"2022-03-30 04:11:12",FALSE
"2022-03-30 05:11:02",TRUE,"2022-03-30 05:10:03",280,"2022-03-30 05:11:12",FALSE
"2022-03-30 06:11:03",TRUE,"2022-03-30 06:10:03",280,"2022-03-30 06:11:13",FALSE
"2022-03-30 07:11:02",TRUE,"2022-03-30 07:10:04",280,"2022-03-30 07:11:12",FALSE
"2022-03-30 08:11:02",TRUE,"2022-03-30 08:10:02",280,"2022-03-30 08:11:12",FALSE
"2022-03-30 09:11:02",TRUE,"2022-03-30 09:10:04",280,"2022-03-30 09:11:12",FALSE
"2022-03-30 10:11:02",TRUE,"2022-03-30 10:10:03",280,"2022-03-30 10:11:36",FALSE
"2022-03-30 11:11:02",TRUE,"2022-03-30 11:10:04",280,"2022-03-30 11:11:38",FALSE
"2022-03-30 11:27:11",TRUE,"2022-03-30 11:02:41",960,"2022-03-30 11:58:18",FALSE
"2022-03-30 12:04:41",TRUE,"2022-03-29 09:45:04",23040,"2022-03-30 12:05:52",FALSE
"2022-03-30 12:11:03",TRUE,"2022-03-30 12:10:04",280,"2022-03-30 12:12:06",FALSE
"2022-03-30 13:11:03",TRUE,"2022-03-30 13:10:05",280,"2022-03-30 13:12:04",FALSE
"2022-03-30 14:11:02",TRUE,"2022-03-30 14:10:04",280,"2022-03-30 14:12:04",FALSE
"2022-03-30 15:11:03",TRUE,"2022-03-30 15:10:05",280,"2022-03-30 15:12:06",FALSE
"2022-03-30 16:11:02",TRUE,"2022-03-30 16:10:06",280,"2022-03-30 16:12:06",FALSE
"2022-03-30 17:11:02",TRUE,"2022-03-30 17:10:05",280,"2022-03-30 17:12:06",FALSE
"2022-03-30 18:11:02",TRUE,"2022-03-30 18:10:05",280,"2022-03-30 18:12:04",FALSE
"2022-03-30 19:11:02",TRUE,"2022-03-30 19:10:04",280,"2022-03-30 19:12:05",FALSE
"2022-03-30 20:11:02",TRUE,"2022-03-30 20:10:05",280,"2022-03-30 20:12:05",FALSE
"2022-03-30 21:11:03",TRUE,"2022-03-30 21:10:04",280,"2022-03-30 21:12:06",FALSE
"2022-03-30 22:11:02",TRUE,"2022-03-30 22:10:05",280,"2022-03-30 22:12:05",FALSE
"2022-03-30 23:11:02",TRUE,"2022-03-30 23:10:06",280,"2022-03-30 23:12:06",FALSE
"2022-03-31 00:11:02",TRUE,"2022-03-31 00:10:05",280,"2022-03-31 00:12:04",FALSE
"2022-03-31 01:11:02",TRUE,"2022-03-31 01:10:06",280,"2022-03-31 01:12:04",FALSE
"2022-03-31 02:11:03",TRUE,"2022-03-31 02:10:04",280,"2022-03-31 02:12:03",FALSE
"2022-03-31 03:11:02",TRUE,"2022-03-31 03:10:04",280,"2022-03-31 03:12:03",FALSE
"2022-03-31 04:11:03",TRUE,"2022-03-31 04:10:05",280,"2022-03-31 04:12:03",FALSE
"2022-03-31 05:11:02",TRUE,"2022-03-31 05:10:04",280,"2022-03-31 05:12:01",FALSE
"2022-03-31 06:11:02",TRUE,"2022-03-31 06:10:04",280,"2022-03-31 06:12:03",FALSE
"2022-03-31 07:11:02",TRUE,"2022-03-31 07:10:04",280,"2022-03-31 07:12:04",FALSE
"2022-03-31 08:11:02",TRUE,"2022-03-31 08:10:04",280,"2022-03-31 08:12:04",FALSE
"2022-03-31 09:11:03",TRUE,"2022-03-31 09:10:04",280,"2022-03-31 09:12:05",FALSE
"2022-03-31 09:12:05",TRUE,"2022-03-31 08:15:03",960,"2022-03-31 09:13:08",FALSE
"2022-03-31 10:11:02",TRUE,"2022-03-31 10:10:04",280,"2022-03-31 10:12:07",FALSE
"2022-03-31 11:11:03",TRUE,"2022-03-31 11:10:04",280,"2022-03-31 11:12:05",FALSE
"2022-03-31 12:11:03",TRUE,"2022-03-31 12:10:03",280,"2022-03-31 12:12:05",FALSE
"2022-03-31 13:11:02",TRUE,"2022-03-31 13:10:04",280,"2022-03-31 13:12:05",FALSE
"2022-03-31 14:11:03",FALSE,NA,NA,"2022-03-31 14:11:04",FALSE
"2022-03-31 15:11:02",FALSE,NA,NA,"2022-03-31 15:11:04",FALSE
"2022-03-31 16:11:02",FALSE,NA,NA,"2022-03-31 16:11:04",FALSE
"2022-03-31 17:11:03",FALSE,NA,NA,"2022-03-31 17:11:04",FALSE
"2022-04-01 08:11:03",TRUE,"2022-04-01 08:10:04",280,"2022-04-01 08:12:06",FALSE
"2022-04-01 09:11:03",TRUE,"2022-04-01 09:10:04",280,"2022-04-01 09:12:07",FALSE
"2022-04-01 09:12:07",TRUE,"2022-04-01 08:15:05",960,"2022-04-01 09:13:12",FALSE
"2022-04-01 10:11:03",TRUE,"2022-04-01 10:10:03",280,"2022-04-01 10:12:06",FALSE
"2022-04-01 11:11:03",TRUE,"2022-04-01 11:10:03",280,"2022-04-01 11:12:07",FALSE
"2022-04-01 12:11:03",TRUE,"2022-04-01 12:10:04",280,"2022-04-01 12:12:06",FALSE
"2022-04-01 13:11:03",TRUE,"2022-04-01 13:10:05",280,"2022-04-01 13:12:07",FALSE
"2022-04-01 14:11:02",TRUE,"2022-04-01 14:10:05",280,"2022-04-01 14:12:06",FALSE
"2022-04-01 15:11:02",TRUE,"2022-04-01 15:10:05",280,"2022-04-01 15:12:06",FALSE
"2022-04-01 16:11:02",TRUE,"2022-04-01 16:10:04",280,"2022-04-01 16:12:07",FALSE
"2022-04-01 17:11:02",TRUE,"2022-04-01 17:10:04",280,"2022-04-01 17:12:07",FALSE
"2022-04-01 18:11:02",TRUE,"2022-04-01 18:10:05",280,"2022-04-01 18:12:07",FALSE
